stock,cik,date,positive,negative,neutral,positive_ratio,negative_ratio,neutral_ratio
ADBE,796343,2018_11_30,21.1827,74.5229,22.2945,17.95,63.15,18.89
ADBE,796343,2019_11_29,22.6052,75.7269,24.6679,18.38,61.57,20.06
ADBE,796343,2020_11_27,27.3507,73.9078,26.7415,21.37,57.74,20.89
ADBE,796343,2021_12_03,24.9823,59.9757,24.042,22.92,55.02,22.06
ADBE,796343,2022_12_02,22.2858,64.0729,20.6414,20.83,59.88,19.29
ADBE,796343,2023_12_01,22.4247,62.0084,21.5669,21.16,58.5,20.35
ADBE,796343,2024_11_29,20.5739,62.2699,26.1562,18.88,57.13,24.0
AMZN,1018724,2018_12_31,17.1149,49.0518,8.8333,22.82,65.4,11.78
AMZN,1018724,2019_12_31,16.4679,51.6957,7.8364,21.67,68.02,10.31
AMZN,1018724,2020_12_31,15.8956,46.5461,8.5583,22.39,65.56,12.05
AMZN,1018724,2021_12_31,17.2021,46.0152,7.7826,24.23,64.81,10.96
AMZN,1018724,2022_12_31,18.303,49.0955,7.6015,24.4,65.46,10.14
AMZN,1018724,2023_12_31,18.9673,53.7919,7.2408,23.71,67.24,9.05
"GOOG, GOOGL",1652044,2018_12_31,21.5684,59.2153,12.2163,23.19,63.67,13.14
"GOOG, GOOGL",1652044,2019_12_31,22.4654,58.5011,11.0336,24.42,63.59,11.99
"GOOG, GOOGL",1652044,2020_12_31,26.0235,61.2251,11.7514,26.29,61.84,11.87
"GOOG, GOOGL",1652044,2021_12_31,25.6376,58.5723,9.7901,27.27,62.31,10.42
"GOOG, GOOGL",1652044,2022_12_31,26.0497,54.0548,10.8954,28.63,59.4,11.97
"GOOG, GOOGL",1652044,2023_12_31,27.3318,58.3442,12.324,27.89,59.53,12.58
INTC,50863,2018_12_29,18.6069,66.124,30.2691,16.18,57.5,26.32
INTC,50863,2019_12_28,21.5214,59.6872,33.7914,18.71,51.9,29.38
INTC,50863,2020_12_26,26.3298,62.2685,38.4017,20.73,49.03,30.24
INTC,50863,2021_12_25,28.2937,63.8117,36.8946,21.93,49.47,28.6
INTC,50863,2022_12_31,33.4699,63.2508,37.2793,24.98,47.2,27.82
INTC,50863,2023_12_30,37.9033,63.7002,34.3965,27.87,46.84,25.29
INTC,50863,2024_12_28,37.2137,66.4015,28.3849,28.19,50.3,21.5
META,1326801,2018_12_31,33.2958,53.5267,4.1775,36.59,58.82,4.59
META,1326801,2019_12_31,37.2555,65.3706,3.374,35.15,61.67,3.18
META,1326801,2020_12_31,45.3802,71.2925,3.3273,37.82,59.41,2.77
META,1326801,2021_12_31,47.6944,67.3888,6.9168,39.09,55.24,5.67
META,1326801,2022_12_31,51.804,76.0066,5.1894,38.95,57.15,3.9
META,1326801,2023_12_31,56.9604,77.0501,7.9895,40.11,54.26,5.63
META,1326801,2024_12_31,59.0715,79.0725,7.856,40.46,54.16,5.38
SNPS,883241,2019_10_31,17.3278,68.8793,6.793,18.63,74.06,7.3
SNPS,883241,2020_10_31,20.1966,63.557,10.2464,21.49,67.61,10.9
SNPS,883241,2021_10_31,20.0009,63.2152,9.7839,21.51,67.97,10.52
SNPS,883241,2022_10_31,22.3814,60.137,12.4816,23.56,63.3,13.14
SNPS,883241,2023_10_31,27.3481,62.7121,10.9398,27.08,62.09,10.83
SNPS,883241,2024_10_31,27.5506,70.7785,12.6709,24.82,63.76,11.42
TSLA,1318605,2018_12_31,31.513,121.5595,18.9275,18.32,70.67,11.0
TSLA,1318605,2019_12_31,28.4337,117.7302,9.8361,18.23,75.47,6.31
TSLA,1318605,2020_12_31,27.2456,107.6801,14.0743,18.29,72.27,9.45
TSLA,1318605,2021_12_31,27.6404,88.3371,15.0225,21.1,67.43,11.47
TSLA,1318605,2022_12_31,24.7254,79.6028,13.6718,20.95,67.46,11.59
TSLA,1318605,2023_12_31,25.4051,70.1511,16.4438,22.68,62.63,14.68
TSLA,1318605,2024_12_31,25.2545,65.3311,17.4145,23.38,60.49,16.12
