stock,cik,date,positive,negative,neutral,positive_ratio,negative_ratio,neutral_ratio
ADBE,796343,2018_11_30,0.2514,0.5145,0.2341,25.14,51.45,23.41
ADBE,796343,2019_11_29,0.2489,0.5096,0.2415,24.89,50.96,24.15
ADBE,796343,2020_11_27,0.2607,0.4895,0.2498,26.07,48.95,24.98
ADBE,796343,2021_12_03,0.27,0.481,0.249,27.0,48.1,24.9
ADBE,796343,2022_12_02,0.2656,0.4884,0.246,26.56,48.84,24.6
ADBE,796343,2023_12_01,0.2599,0.4904,0.2496,25.99,49.04,24.96
ADBE,796343,2024_11_29,0.2565,0.489,0.2545,25.65,48.9,25.45
AMZN,1018724,2018_12_31,0.2726,0.609,0.1184,27.26,60.9,11.84
AMZN,1018724,2019_12_31,0.2825,0.6171,0.1005,28.25,61.71,10.05
AMZN,1018724,2020_12_31,0.2882,0.6062,0.1056,28.82,60.62,10.56
AMZN,1018724,2021_12_31,0.2969,0.5964,0.1067,29.69,59.64,10.67
AMZN,1018724,2022_12_31,0.2998,0.6118,0.0884,29.98,61.18,8.84
AMZN,1018724,2023_12_31,0.2965,0.591,0.1125,29.65,59.1,11.25
"GOOG, GOOGL",1652044,2018_12_31,0.2745,0.5725,0.1531,27.45,57.25,15.31
"GOOG, GOOGL",1652044,2019_12_31,0.2889,0.5737,0.1374,28.89,57.37,13.74
"GOOG, GOOGL",1652044,2020_12_31,0.2984,0.5688,0.1329,29.84,56.88,13.29
"GOOG, GOOGL",1652044,2021_12_31,0.295,0.5566,0.1483,29.5,55.66,14.83
"GOOG, GOOGL",1652044,2022_12_31,0.3173,0.5802,0.1026,31.73,58.02,10.26
"GOOG, GOOGL",1652044,2023_12_31,0.2902,0.5357,0.1741,29.02,53.57,17.41
INTC,50863,2018_12_29,0.2409,0.472,0.2871,24.09,47.2,28.71
INTC,50863,2019_12_28,0.2475,0.4529,0.2996,24.75,45.29,29.96
INTC,50863,2020_12_26,0.2582,0.4461,0.2957,25.82,44.61,29.57
INTC,50863,2021_12_25,0.2654,0.455,0.2795,26.54,45.5,27.95
INTC,50863,2022_12_31,0.2796,0.4407,0.2797,27.96,44.07,27.97
INTC,50863,2023_12_30,0.2912,0.4352,0.2735,29.12,43.52,27.35
INTC,50863,2024_12_28,0.2851,0.4743,0.2406,28.51,47.43,24.06
META,1326801,2018_12_31,0.3564,0.5763,0.0673,35.64,57.63,6.73
META,1326801,2019_12_31,0.3727,0.5816,0.0457,37.27,58.16,4.57
META,1326801,2020_12_31,0.394,0.5827,0.0233,39.4,58.27,2.33
META,1326801,2021_12_31,0.3948,0.5752,0.0299,39.48,57.52,2.99
META,1326801,2022_12_31,0.3813,0.5854,0.0334,38.13,58.54,3.34
META,1326801,2023_12_31,0.3856,0.561,0.0534,38.56,56.1,5.34
META,1326801,2024_12_31,0.3888,0.5647,0.0465,38.88,56.47,4.65
SNPS,883241,2019_10_31,0.2777,0.6442,0.0781,27.77,64.42,7.81
SNPS,883241,2020_10_31,0.2828,0.6069,0.1103,28.28,60.69,11.03
SNPS,883241,2021_10_31,0.2765,0.5541,0.1693,27.65,55.41,16.93
SNPS,883241,2022_10_31,0.2888,0.5278,0.1834,28.88,52.78,18.34
SNPS,883241,2023_10_31,0.2793,0.5477,0.1729,27.93,54.77,17.29
SNPS,883241,2024_10_31,0.2889,0.5451,0.166,28.89,54.51,16.6
TSLA,1318605,2018_12_31,0.2622,0.5849,0.153,26.22,58.49,15.3
TSLA,1318605,2019_12_31,0.2764,0.617,0.1067,27.64,61.7,10.67
TSLA,1318605,2020_12_31,0.2651,0.6016,0.1333,26.51,60.16,13.33
TSLA,1318605,2021_12_31,0.2788,0.5836,0.1376,27.88,58.36,13.76
TSLA,1318605,2022_12_31,0.2677,0.5604,0.1718,26.77,56.04,17.18
TSLA,1318605,2023_12_31,0.2758,0.5839,0.1403,27.58,58.39,14.03
TSLA,1318605,2024_12_31,0.285,0.5765,0.1385,28.5,57.65,13.85
