stock,cik,date,positive,negative,neutral,positive_ratio,negative_ratio,neutral_ratio
ADBE,796343,2018_11_30,22.3467,114.7678,16.8855,14.51,74.52,10.96
ADBE,796343,2019_11_29,21.7479,114.1109,19.1412,14.03,73.62,12.35
ADBE,796343,2020_11_27,25.582,105.5952,21.8229,16.72,69.02,14.26
ADBE,796343,2021_12_03,24.3116,86.5083,18.1801,18.85,67.06,14.09
ADBE,796343,2022_12_02,22.9996,88.6443,17.3562,17.83,68.72,13.45
ADBE,796343,2023_12_01,21.4743,89.9032,18.6225,16.52,69.16,14.32
ADBE,796343,2024_11_29,20.7941,90.9299,20.2761,15.75,68.89,15.36
AMZN,1018724,2018_12_31,13.5641,84.7588,4.677,13.17,82.29,4.54
AMZN,1018724,2019_12_31,14.8527,85.2311,3.9162,14.28,81.95,3.77
AMZN,1018724,2020_12_31,15.6093,79.6456,3.7451,15.77,80.45,3.78
AMZN,1018724,2021_12_31,17.4962,78.3901,4.1137,17.5,78.39,4.11
AMZN,1018724,2022_12_31,18.0022,83.5706,3.4272,17.14,79.59,3.26
AMZN,1018724,2023_12_31,19.2281,84.3114,4.4605,17.8,78.07,4.13
"GOOG, GOOGL",1652044,2018_12_31,18.3767,94.163,7.4603,15.31,78.47,6.22
"GOOG, GOOGL",1652044,2019_12_31,20.7808,91.1032,6.116,17.61,77.21,5.18
"GOOG, GOOGL",1652044,2020_12_31,25.2072,98.9282,6.8646,19.24,75.52,5.24
"GOOG, GOOGL",1652044,2021_12_31,23.2888,89.5208,7.1904,19.41,74.6,5.99
"GOOG, GOOGL",1652044,2022_12_31,25.9043,90.3329,4.7628,21.41,74.66,3.94
"GOOG, GOOGL",1652044,2023_12_31,25.3463,92.8137,8.8399,19.96,73.08,6.96
INTC,50863,2018_12_29,17.7043,94.2868,33.0089,12.21,65.03,22.76
INTC,50863,2019_12_28,20.0319,88.5618,37.4063,13.72,60.66,25.62
INTC,50863,2020_12_26,25.6955,93.997,39.3074,16.16,59.12,24.72
INTC,50863,2021_12_25,28.3249,97.2327,33.4424,17.81,61.15,21.03
INTC,50863,2022_12_31,34.7241,95.5013,34.7746,21.04,57.88,21.08
INTC,50863,2023_12_30,39.5918,94.5675,32.8408,23.71,56.63,19.67
INTC,50863,2024_12_28,36.579,107.5136,19.9074,22.3,65.56,12.14
META,1326801,2018_12_31,29.855,77.3821,2.7629,27.14,70.35,2.51
META,1326801,2019_12_31,37.4831,89.4734,2.0435,29.06,69.36,1.58
META,1326801,2020_12_31,46.6402,99.1597,1.2001,31.73,67.46,0.82
META,1326801,2021_12_31,48.4333,99.9246,1.6421,32.29,66.62,1.09
META,1326801,2022_12_31,46.9843,108.1585,1.8572,29.93,68.89,1.18
META,1326801,2023_12_31,53.7745,110.9963,3.2291,32.01,66.07,1.92
META,1326801,2024_12_31,55.9935,115.0519,2.9546,32.18,66.12,1.7
SNPS,883241,2019_10_31,15.2852,106.153,3.5618,12.23,84.92,2.85
SNPS,883241,2020_10_31,18.4141,100.4233,5.1626,14.85,80.99,4.16
SNPS,883241,2021_10_31,20.0021,91.2687,7.7291,16.81,76.7,6.5
SNPS,883241,2022_10_31,24.6019,88.1948,9.2033,20.17,72.29,7.54
SNPS,883241,2023_10_31,22.5195,96.8639,8.6166,17.59,75.67,6.73
SNPS,883241,2024_10_31,28.0546,108.4012,9.5442,19.22,74.25,6.54
TSLA,1318605,2018_12_31,29.1347,185.2232,13.6421,12.78,81.24,5.98
TSLA,1318605,2019_12_31,26.188,161.9374,7.8746,13.36,82.62,4.02
TSLA,1318605,2020_12_31,23.298,155.125,9.5769,12.39,82.51,5.09
TSLA,1318605,2021_12_31,25.6779,131.5091,8.813,15.47,79.22,5.31
TSLA,1318605,2022_12_31,23.0281,120.3355,10.6364,14.95,78.14,6.91
TSLA,1318605,2023_12_31,22.4031,119.1904,8.4064,14.94,79.46,5.6
TSLA,1318605,2024_12_31,23.8313,110.4335,7.7352,16.78,77.77,5.45
